CRF,CRF ID,CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,Description,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,Classification,Version Number,Version Date,CRF Name,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
Electrophysiology,F0977,C10789,Transcranial magnetic stimulation muscle studied name,TMSMuscleStudiedName,Name of the muscle studied using transcranial magnetic stimulation (TMS),Name of the muscle studied using transcranial magnetic stimulation (TMS),MuscleRecorded Form (Free Text),,,Alphanumeric,"Record the muscle studied. It is recommended that three different muscle sites be examined.
",No references available,Adult,Supplemental,3,57:17.8,Electrophysiology,Non-Imaging Diagnostics,Assessments and Examinations,255,"Free-Form Entry
",,,,,,,
Electrophysiology,F0977,C18809,Electrophysiology motor unit number estimation nerve other text,ElctphysMUNENervOTH,The free-text field related to 'Electrophysiology motor unit number estimation nerve type' specifying other text. Type of nerve where an electrical signal is measured with the MUNE (motor unit number estimation) technique,The free-text field related to 'Electrophysiology motor unit number estimation nerve type' specifying other text. Type of nerve where an electrical signal is measured with the MUNE (motor unit number estimation) technique,"Other, specify",,,Alphanumeric,"Record the CMAP and SMUP measurements for each nerve and side (right or left)
",No references available,Adult;Pediatric,Supplemental,3,54:08.2,Electrophysiology,Non-Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Electrophysiology,F0977,C10775,Electromyography not assessed indicator,EMGNotAssessedInd,Indicator whether the electromyography (EMG) was not performed on the specific anatomic site and side,Indicator whether the electromyography (EMG) was not performed on the specific anatomic site and side,Not Assessed,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose one.  Answer for the following anatomic sites on both sides (right and left): Tongue; Masseter; Cranial other, specify; Biceps; Triceps; EDC; APB; ADM; FDI; Cervical other, specify; Paraspinal; Thoracic other, specify; Vastuslateralis; Tibialis anterior; Gastrocnemius; Tibialis posterior; Lumbosacral other, specify.
",No references available,Adult,Supplemental,3,57:17.8,Electrophysiology,Non-Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Electrophysiology,F0977,C10790,Transcranial magnetic stimulation muscle weak indicator,TMSMuscleWeakInd,Indicator whether there is clinical evidence of muscle weakness from the transcranial magnetic stimulation (TMS),Indicator whether there is clinical evidence of muscle weakness from the transcranial magnetic stimulation (TMS),Muscle Weak,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"Choose one for each muscle site studied
",No references available,Adult,Supplemental,3,57:17.8,Electrophysiology,Non-Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Electrophysiology,F0977,C18810,Electrical impedance myography method used other text,EIMMethodUsedOTH,The free-text field related to 'Electrical impedance myography method used type' specifying other text. Type of technique/method used for electrical impedance myography (EIM),The free-text field related to 'Electrical impedance myography method used type' specifying other text. Type of technique/method used for electrical impedance myography (EIM),"Other, specify",,,Alphanumeric,"Choose one for each muscle site studied
",No references available,Adult,Supplemental,3,57:17.8,Electrophysiology,Non-Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Electrophysiology,F0977,C10778,Electrophysiology motor unit number estimation muscle studied name,ElctPhysMUNEMuscleStudiedName,Name of the muscle studied using the MUNE (motor unit number estimation) technique,Name of the muscle studied using the MUNE (motor unit number estimation) technique,Muscle Studied,,,Alphanumeric,"Record the muscle studied. It is recommended that three different muscle sites be examined.
",No references available,Adult;Pediatric,Supplemental,3,54:08.2,Electrophysiology,Non-Imaging Diagnostics,Assessments and Examinations,255,"Free-Form Entry
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09368,Hamilton Depression Rating Scale (HDRS) - guilty mind indicator,HDRSGltMndInd,"Score for the presence, qualities, and strength of the participant/subject's guilty feelings, if any, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the presence, qualities, and strength of the participant/subject's guilty feelings, if any, as part of the Hamilton Depression Rating Scale (HDRS)",Feelings of guilt,0;1;2;3;4,"Absent;Self reproach, feels he/she has let people down;Ideas of guilt or rumination over past errors or sinful deeds;Present illness is a punishment. Delusions of guilt;Hears accusatory or denunciatory voices and/or experiences threatening visual hallucinations",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09358,Hamilton Depression Rating Scale (HDRS) - depressed mood indicator,HDRSDeprsdMdInd,"Score for whether, how, and in what circumstances the participant/subject expresses feelings of depression (sadness, hopeless, helpless, worthless), as part of the Hamilton Depression Rating Scale (HDRS)","Score for whether, how, and in what circumstances the participant/subject expresses feelings of depression (sadness, hopeless, helpless, worthless), as part of the Hamilton Depression Rating Scale (HDRS)","Depressed mood (sadness, hopeless, helpless, worthless)",0;1;2;3;4,"Absent;These feeling states indicated only on questioning;These feeling states spontaneously reported verbally;Communicates feeling states non-verbally, i.e. through facial expression, posture, voice and tendency to weep;Patient reports virtually only these feeling states in his/her spontaneous verbal and non-verbal communication",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09369,Hamilton Depression Rating Scale (HDRS) - suicide indicator,HDRSucdInd,"Score for the presence, qualities, and strength of the participant/subject's suicide-relevant thoughts and actions , if any, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the presence, qualities, and strength of the participant/subject's suicide-relevant thoughts and actions, if any, as part of the Hamilton Depression Rating Scale (HDRS)",Suicide,0;1;2;3;4,Absent;Feels life is not worth living;Wishes he/she were dead or any thoughts of possible death to self;Ideas or gestures of suicide;Attempts at suicide (any serious attempt rate 4),Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09359,Hamilton Depression Rating Scale (HDRS) - anxiety psychic difficulty indicator,HDRSAnxPsycDifcltInd,"Score for the participant/subject's degree of psychic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's degree of psychic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)",Anxiety psychic,0;1;2;3;4,No difficulty;Subjective tension and irritability;Worrying about minor matters;Apprehensive attitude apparent in face or speech;Fears expressed without questioning,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09370,Hamilton Depression Rating Scale (HDRS) - early night insomnia indicator,HDRSErlyNgtInsmnInd,"Score for the participant/subject's difficulty, if any, with early-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's difficulty, if any, with early-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)",Insomnia: early in the night,0;1;2,"No difficulty falling asleep;Complains of occasional difficulty falling asleep, i.e. more than 1/2 hour;Complains of nightly difficulty falling asleep",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09360,Hamilton Depression Rating Scale (HDRS) - anxiety somatic indicator,HDRSAnxSomtcInd,"Score for the participant/subject's grade of symptoms of somatic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's grade of symptoms of somatic anxiety, as part of the Hamilton Depression Rating Scale (HDRS)","Anxiety somatic (physiological concomitantsof anxiety) such as: gastro-intestinal - dry mouth, wind, indigestion, diarrhea, cramps, belching; cardio-vascular - palpitations, headaches; respiratory - hyperventilation, sighing; urinary frequency; sweating",0;1;2;3;4,Absent;Mild;Moderate;Severe;Incapacitating,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09371,Hamilton Depression Rating Scale (HDRS) - middle night insomnia indicator,HDRSMddlNgtInsmnInd,"Score for the participant/subject's difficulty, if any, with middle-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's difficulty, if any, with middle-night insomnia, as part of the Hamilton Depression Rating Scale (HDRS)",Insomnia: middle of the night,0;1;2,No difficulty;Complains of being restless and disturbed during the night;Waking during the night - any getting out of bed rates 2 (except for purposes of voiding),Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09361,Hamilton Depression Rating Scale (HDRS) - somatic symptoms indicator,HDRSSomtcSymptmInd,"Score for the intensity of the participant/subject's somatic gastrointestinal symptoms, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the intensity of the participant/subject's somatic gastrointestinal symptoms, as part of the Hamilton Depression Rating Scale (HDRS)",Somatic symptoms gastro-intestinal,0;1;2,None;Loss of appetite but eating without staff encouragement. Heavy feelings in abdomen;Difficulty eating without staff urging. Requests or requires laxatives or medication for bowels or medication for gastro-intestinal symptoms,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09372,Hamilton Depression Rating Scale (HDRS) - early morning insomnia indicator,HDRSErlyMornInsmnInd,"Score for the participant/subject's difficulty, if any, with insomnia in the early morning hours, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's difficulty, if any, with insomnia in the early morning hours, as part of the Hamilton Depression Rating Scale (HDRS)",Insomnia: early hours of the morning,0;1;2,No difficulty;Waking in early hours of the morning but goes back to sleep;Unable to fall asleep again if he/she gets out of bed,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09362,Hamilton Depression Rating Scale (HDRS) - general somatic symptoms indicator,HDRSGenrlSomtcSymptmInd,"Score for the intensity of the participant/subject's general somatic symptoms, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the intensity of the participant/subject's general somatic symptoms, as part of the Hamilton Depression Rating Scale (HDRS)",General somatic symptoms,0;1;2,"None;Heaviness in limbs, back, or head. Backaches, headaches, muscle aches. Loss of energy and fatigability;Any clear-cut symptom rates 2",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09373,Hamilton Depression Rating Scale (HDRS) - work activities difficulty indicator,HDRSWrkActDifcltInd,"Score for the participant/subject's difficulty, if any, with work and activities, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's difficulty, if any, with work and activities, as part of the Hamilton Depression Rating Scale (HDRS)",Work and activities,0;1;2;3;4,"No difficulty;Thoughts and feelings of incapacity, fatigue or weakness related to activities, work or hobbies;Loss of interest in activity, hobbies, or work - either directly reported by the patient or indirect in listlessness, indecision and vacillation (feels he/she has to push self to work or activities);Decrease in actual time spent in activities or decrease in productivity. Rate 3 if the patient does not spend at least three hours a day in activities (job or hobbies) excluding routine chores;Stopped working because of present illness. Rate 4 if patient engages in no activities except routine chores, or if patient fails to perform routine chores unassisted.",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09363,Hamilton Depression Rating Scale (HDRS) - genital symptoms indicator,HDRSGentlSymptmInd,"Score for the intensity of the participant/subject's genital symptoms such as loss of libido or menstrual disturbances, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the intensity of the participant/subject's genital symptoms such as loss of libido or menstrual disturbances, as part of the Hamilton Depression Rating Scale (HDRS)","Genital symptoms(symptoms such as loss of libido, menstrual disturbances)",0;1;2,Absent;Mild;Severe,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09374,Hamilton Depression Rating Scale (HDRS) - retardation indicator,HDRSRetrdtnInd,"Score for any retardation in the participant/subject's mental or physical behavior, as part of the Hamilton Depression Rating Scale (HDRS)","Score for any retardation in the participant/subject's mental or physical behavior, as part of the Hamilton Depression Rating Scale (HDRS)","Retardation (slowness of thought and speech, impaired ability to concentrate, decreased motor activity)",0;1;2;3;4,Normal speech and thought;Slight retardation during the interview;Obvious retardation during the interview;Interview difficult;Complete stupor,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09364,Hamilton Depression Rating Scale (HDRS) - hypochondriasis indicator,HDRSHypchdssInd,"Score for the intensity of the participant/subject's hypochondriasis, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the intensity of the participant/subject's hypochondriasis, as part of the Hamilton Depression Rating Scale (HDRS)",Hypochondriasis,0;1;2;3;4,"Not present;Self-absorption (bodily);Preoccupation with health;Frequent complaints, requests for help, etc;Hypochondriacal delusions",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09375,Hamilton Depression Rating Scale (HDRS) - agitation indicator,HDRSAgttnInd,"Score for the extent of agitated behaviors the participant/subject displays, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the extent of agitated behaviors the participant/subject displays, as part of the Hamilton Depression Rating Scale (HDRS)",Agitation,0;1;2;3;4,"None;Fidgetiness;Playing with hands, hair, etc;Moving about, can't sit still;Hand wringing, nail biting, hair-pulling, biting of lips",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09365,Hamilton Depression Rating Scale (HDRS) - weight loss patient indicator,HDRSWgtLosPatInd,"Score for the amount of weight loss reported by the participant/subject, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the amount of weight loss reported by the participant/subject, as part of the Hamilton Depression Rating Scale (HDRS)",Loss of weight according to the patient,0;1;2;3,No weight loss;Probable weight loss associated with present illness;Definite (according to patient) weight loss;Not assessed,Numeric Values,"Rate either HDRS Q16a or HDRSQ16b
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09376,Hamilton Depression Rating Scale (HDRS) - total score,HDRSTotScore,"Value of the sum of all scores recorded, as part of the Hamilton Depression Rating Scale (HDRS)","Value of the sum of all scores recorded, as part of the Hamilton Depression Rating Scale (HDRS)",Total Score,,,Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Free-Form Entry
",0,53,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09366,Hamilton Depression Rating Scale (HDRS) - weight loss measurement indicator,HDRSWgtLosMeasrInd,"Score for the amount of the participant/subject's weight loss according to weekly measurements, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the amount of the participant/subject's weight loss according to weekly measurements, as part of the Hamilton Depression Rating Scale (HDRS)",Loss of weight according to weekly measurements,0;1;2;3,Less than 1 lb weight loss in week;Greater than 1 lb weight loss in week;Greater than 2 lb weight loss in week;Not assessed,Numeric Values,"Rate either HDRS Q16a or HDRSQ16b
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Hamilton Depression Rating Scale (HDRS),F1006,C09367,Hamilton Depression Rating Scale (HDRS) - insight indicator,HDRSInsgtInd,"Score for the participant/subject's acknowledgement of depression and illness, as part of the Hamilton Depression Rating Scale (HDRS)","Score for the participant/subject's acknowledgement of depression and illness, as part of the Hamilton Depression Rating Scale (HDRS)",Insight,0;1;2,"Acknowledges being depressed and ill;Acknowledges illness but attributes cause to bad food, climate, overwork, virus, need for rest, etc;Denies being ill at all",Numeric Values,"for each item select the one ""cue"" which best characterizes the patient. Be sure to record the answers in the appropriate spaces (positions 0 through 4).
","Hamilton, M. A rating scale for depression. J Neurol Neurosurg Psychiatry 1960; 23:56-62  The HDRS is in the public domain.",Adult,Exploratory,3,57:17.8,Hamilton Depression Rating Scale (HDRS),Cognitive,Outcomes and End Points,,"Single Pre-Defined Value Selected
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C10843,Imaging analysis software version number,ImgAnlysisSftwrVrsnNum,The version number of the software used for quantitative analysis of the imaging study,The version number of the software used for quantitative analysis of the imaging study,Software Version Number,,,Alphanumeric,"No instructions available
",No references available,Adult;Pediatric,Supplemental,3,57:17.8,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C08236,Imaging scanner software name,ImgScannerSftwrName,Name of the scanner software that runs the imaging camera,Name of the scanner software that runs the imaging camera,Name of the scanner software and its version number,,,Alphanumeric,"No instructions available
",No references available,Adult;Pediatric,Supplemental,3,38:01.2,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C18714,Imaging radio frequency coil channel count other text,ImgRFCoilChannelCtOTH,"The free-text field related to 'Imaging radio frequency coil channel count', specifying other text. Number of the coil channels in the radio frequency (RF) coil used for the imaging scan","The free-text field related to 'Imaging radio frequency coil channel count', specifying other text. Number of the coil channels in the radio frequency (RF) coil used for the imaging scan","Other, specify",,,Alphanumeric,"Record the number of coils for the applicable receiver coils.
",No references available,Adult;Pediatric,Supplemental,2,40:00.0,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C10576,Imaging in plane resolution axis 1 measurement,ImgInPlaneRsltnAxis1Measr,Measurement of axis 1 of in-plane spatial resolution used in imaging acquisition,Measurement of axis 1 of in-plane spatial resolution used in imaging acquisition,In-plane resolution,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3.1,47:41.0,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,square millimeter,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C10588,Imaging echo train length measurement,ImgEchoTrainLngthMeasr,Measurement of the echo train length used in imaging acquisition,Measurement of the echo train length used in imaging acquisition,Echo train length (EPI factor),,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C17797,Imaging contrast agent injection rate,ImgContrastAgentInjctnRate,"Rate of injection, in milliliters per second (mL/s), of imaging contrast agent used, if any, for the perfusion magnetic resonance imaging (PMRI) scan","Rate of injection, in milliliters per second (mL/s), of imaging contrast agent used, if any, for the perfusion magnetic resonance imaging (PMRI) scan",Injection rate,,,Numeric Values,,No references available,Adult;Pediatric,Supplemental,3.1,48:33.0,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,milliliter per second,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C08238,Imaging repetition gap duration,ImgRepetitionGapDur,"Duration between successive pulse sequences, in milliseconds, applied to the same slice during imaging acquisition","Duration between successive pulse sequences, in milliseconds, applied to the same slice during imaging acquisition",Reptition time (TR),,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3.1,47:45.0,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,millisecond,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C18715,Imaging radio frequency coil other text,ImgRFCoilOTH,The free-text field related to 'Imaging radio frequency coil type' specifying other text. Type of radio frequency (RF) coil(s) used for the body part scanned,The free-text field related to 'Imaging radio frequency coil type' specifying other text. Type of radio frequency (RF) coil(s) used for the body part scanned,"Other, specify",,,Alphanumeric,"Check all that apply
",No references available,Adult;Pediatric,Supplemental,1,34:46.0,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C10577,Imaging signal averages number,ImgSignalAvgNum,Number of signal acquisitions averaged in imaging acquisition,Number of signal acquisitions averaged in imaging acquisition,Number of signal averages,,,Numeric Values,"DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3,38:01.2,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C10589,Imaging shot count,ImgShotCt,The number of shots used in the imaging echo-planner acquisition,The number of shots used in the imaging echo-planner acquisition,No. of shots,,,Numeric Values,"DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,38:01.2,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,,,,,
Brain Perfusion Magnetic Resonance Imaging,F0976,C17798,Imaging contrast agent name,ImgContrastAgentName,Name of imaging contrast agent used,Name of imaging contrast agent used,"If yes, name of the contrast",,,Alphanumeric,,No references available,Adult;Pediatric,Supplemental,3,57:17.8,Brain Perfusion Magnetic Resonance Imaging,Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
